instance,status,solver_time,lb_time,lb,ub
test_500_2000_r0.01-2.dat,feasible,1.5649e-05,1.5588e-05,7278,8454
test_1000_2000_r0.01-7.dat,feasible,3.3441e-05,3.3401e-05,9120,11202
test_500_1000_r0.01-0.dat,feasible,1.5594e-05,1.5514e-05,4841,5277
test_1000_2000_r0.01-5.dat,feasible,4.2486e-05,4.2413e-05,8917,11541
test_500_2000_r0.01-0.dat,feasible,1.6177e-05,1.6114e-05,6591,7946
test_500_1000_r0.01-2.dat,feasible,1.5736e-05,1.5617e-05,4721,5322
test_500_1000_r0.01-8.dat,feasible,1.5777e-05,1.5719e-05,5088,5834
test_1000_2000_r0.01-9.dat,feasible,3.5361e-05,3.5304e-05,8883,11578
test_500_1000_r0.01-1.dat,feasible,1.594e-05,1.5884e-05,4800,5457
test_1000_1000_r0.01-4.dat,feasible,3.4716e-05,3.4661e-05,7095,8772
test_500_1000_r0.01-4.dat,feasible,1.5751e-05,1.5665e-05,4821,5414
test_1000_1000_r0.01-6.dat,feasible,3.3356e-05,3.3298e-05,2124,2404
test_1000_2000_r0.01-0.dat,feasible,3.4066e-05,3.4032e-05,3461,3974
test_500_2000_r0.01-3.dat,feasible,1.607e-05,1.6009e-05,3116,3398
test_1000_1000_r0.01-0.dat,feasible,3.6793e-05,3.6698e-05,2099,2352
test_1000_2000_r0.01-6.dat,feasible,3.394e-05,3.3889e-05,3474,3953
test_500_2000_r0.01-6.dat,feasible,1.6526e-05,1.6484e-05,3131,3404
test_500_2000_r0.01-8.dat,feasible,1.5965e-05,1.5899e-05,3098,3348
test_1000_1000_r0.01-1.dat,feasible,3.5581e-05,3.5519e-05,2076,2339
test_1000_2000_r0.01-1.dat,feasible,3.7361e-05,3.73e-05,3484,3992
test_1000_2000_r0.01-3.dat,feasible,3.769e-05,3.7638e-05,3495,4014
test_500_1000_r0.01-5.dat,feasible,1.5864e-05,1.5803e-05,1840,2016
test_1000_2000_r0.01-2.dat,feasible,3.6672e-05,3.6609e-05,3440,3925
test_500_2000_r0.01-5.dat,feasible,1.7025e-05,1.6802e-05,3125,3424
test_500_1000_r0.01-7.dat,feasible,1.6469e-05,1.6279e-05,1792,1927
test_1000_1000_r0.01-3.dat,feasible,3.644e-05,3.6381e-05,2126,2430
test_1000_2000_r0.01-8.dat,feasible,3.7433e-05,3.7242e-05,3470,3966
test_500_1000_r0.01-6.dat,feasible,1.4916e-05,1.4879e-05,1880,1997
test_1000_1000_r0.01-9.dat,feasible,3.3148e-05,3.3036e-05,2075,2330
test_500_2000_r0.01-9.dat,feasible,1.4651e-05,1.4617e-05,3100,3394
test_1000_1000_r0.01-7.dat,feasible,3.3218e-05,3.3116e-05,2067,2341
test_1000_1000_r0.01-2.dat,feasible,3.2131e-05,3.2101e-05,2091,2285
test_500_2000_r0.01-1.dat,feasible,1.5491e-05,1.547e-05,3117,3326
test_1000_2000_r0.01-4.dat,feasible,3.6572e-05,3.6343e-05,3508,3949
test_1000_1000_r0.01-8.dat,feasible,4.0213e-05,4.0118e-05,2167,2391
test_500_1000_r0.01-3.dat,feasible,1.6634e-05,1.6529e-05,1804,1952
test_1000_1000_r0.01-5.dat,feasible,3.9267e-05,3.9068e-05,2200,2525
test_500_1000_r0.01-9.dat,feasible,1.507e-05,1.4973e-05,1815,2002
test_500_2000_r0.01-4.dat,feasible,1.5164e-05,1.5052e-05,3072,3303
test_500_2000_r0.01-7.dat,feasible,1.5013e-05,1.4955e-05,3181,3482
test_500_2000_r0.01-2.dat,feasible,1.4962e-05,1.4904e-05,3152,3427
test_1000_2000_r0.01-7.dat,feasible,4.8902e-05,4.8848e-05,3450,4019
test_500_1000_r0.01-0.dat,feasible,2.0715e-05,2.0662e-05,1808,1951
test_1000_2000_r0.01-5.dat,feasible,3.4301e-05,3.4241e-05,3530,3972
test_500_2000_r0.01-0.dat,feasible,1.4808e-05,1.475e-05,3056,3321
test_500_1000_r0.01-2.dat,feasible,1.5665e-05,1.5583e-05,1887,2032
test_500_1000_r0.01-8.dat,feasible,1.6119e-05,1.6033e-05,1856,1994
test_1000_2000_r0.01-9.dat,feasible,3.5584e-05,3.5472e-05,3507,3958
test_500_1000_r0.01-1.dat,feasible,1.4952e-05,1.486e-05,1767,1888
test_1000_1000_r0.01-4.dat,feasible,3.7238e-05,3.7147e-05,2128,2349
test_500_1000_r0.01-4.dat,feasible,1.6332e-05,1.6276e-05,1754,1896
